term,beta,se,z,or,or_ci_low,or_ci_high
intercept,0.5696337282396722,0.07300078002005539,7.8031183787786595,1.7676195037445321,1.5319664925880059,2.039521572524587
signal_code_z,0.4373591646292373,0.10027546830597577,4.361576884335264,1.5486121839042715,1.2722910437812833,1.884945828911318
anchor_code_z,0.07106567714577511,0.08669521817375163,0.819718533995124,1.0736517379345205,0.9058722833555284,1.2725061529643955
log1p_cells_z,0.11202770479542426,0.08249005388259609,1.3580753014765587,1.1185438492442932,0.9515597479228517,1.314831092228669
