term,beta,se,z,or,or_ci_low,or_ci_high
intercept,-1.181922151469086,1.0271367676453638,-1.1506959819757563,0.3066886696049797,0.04096201045612283,2.2962237208748384
signal_code,0.646143838325148,0.18582532826033485,3.4771569859407045,1.9081684176232,1.325680874412838,2.7465936789857683
anchor_code,0.15696953115791154,0.22026153777043542,0.7126506640551602,1.1699599660323867,0.7597672953837302,1.8016125864264405
n_cells_log,0.11064085256523314,0.1235357354767811,0.8956181961293977,1.1169936693960547,0.8767887540767328,1.4230050872227218
cell_level,0.07536426443210853,0.41406941455674934,0.18200876901952306,1.078276857262873,0.4789247518842766,2.4276903132157153
