left_out_region,observed_or,pooled_random_or,pooled_random_ci_low,pooled_random_ci_high,tau2,i2
Po,1.32894,2.129400107091693,1.0570295780896257,4.289704763301945,0.6025867668972027,0.9517210759133163
Chao Phraya,3.56187,1.5622205556559021,1.0799641544552874,2.2598278419201727,0.14603576242101626,0.8637682001293919
Indus,3.3894,1.7631559616535069,0.9384932748405319,3.312457348873953,0.48778739893884215,0.9598549902430799
Rhone,1.59178,2.0478037777697007,0.9962485863904622,4.209291104182595,0.642080853759936,0.9636289638053109
Brantas,1.59171,2.0423934590559525,1.0765584959181582,3.8747277155960993,0.5088635668706187,0.9639755243967041
Rhine,0.810149,2.330235345680458,1.2704450035830352,4.274090378524302,0.4512937991882416,0.9583122872861464
