family,pooled_or,pooled_ci_low,pooled_ci_high,loo_mae,loo_max_abs_error,category
stratified_control_landcover_size_stack,1.790343904448103,1.5330094865399293,2.090875056115311,0.2035938496441821,0.3812339183639646,stratified_control
hierarchical_anchor_stack,1.9646318688752515,1.120580669991814,3.444383792032186,0.6111012395033385,1.09409416839492,cell_anchored
summary_only_meta,1.770236788348802,1.2118630603494314,2.58588481599554,,,summary_only
full_all_region_hierarchical_fit,1.790343904448103,1.5330094865399293,2.090875056115311,0.2035938496441821,0.3812339183639646,conditional_full_all_region
