delta,frame_id,threshold,n_pairs,valid_vlm_cells,covered_vlm_cells,strong_sub_5mm_cells,strong_sub_5mm_fraction,strong_sub_5mm_mean_vlm_mm_yr,strong_sub_5mm_mean_observability,strong_sub_5mm_never_observable_fraction,strong_sub_5mm_not_majority_fraction,strong_sub_5mm_not_stable75_fraction,strong_sub_5mm_obs_lt_0p25_fraction,nonstrong_not_majority_fraction,strong_vs_nonstrong_not_majority_odds_ratio,total_population_vlm_grid,strong_sub_5mm_population,strong_sub_5mm_population_fraction,strong_sub_5mm_population_never_observable,strong_sub_5mm_population_not_majority,strong_sub_5mm_population_not_stable75,strong_sub_5mm_population_never_observable_fraction,strong_sub_5mm_population_not_majority_fraction,strong_sub_5mm_population_not_stable75_fraction,total_builtup_km2_vlm_grid,strong_sub_5mm_builtup_km2,strong_sub_5mm_builtup_fraction,strong_sub_5mm_builtup_never_observable_km2,strong_sub_5mm_builtup_not_majority_km2,strong_sub_5mm_builtup_not_stable75_km2,strong_sub_5mm_builtup_never_observable_fraction,strong_sub_5mm_builtup_not_majority_fraction,strong_sub_5mm_builtup_not_stable75_fraction
Po,117A_04454_131312,0.3,36,2255,2255,2013,0.8926829268292683,-7.293234761229543,0.38408676933267094,0.040238450074515646,0.8276204669647292,0.9433681073025335,0.15598609041231992,0.6487603305785123,2.603371017471737,109261.49790875963,67710.66869937073,0.6197120668793455,1244.3303482587555,23045.13859222462,33841.00529069076,0.018377168209392086,0.34034723087055835,0.4997883781201715,26.034275,18.432397,0.7080050049406024,0.192257,8.485009,11.753787,0.010430385152837148,0.4603312851822799,0.6376700219727255
Chao Phraya,062D_07629_131313,0.3,28,18077,18077,17808,0.9851192122586713,-10.600826401120502,0.30863135348479015,0.25466082659478884,0.706929469901168,0.780604222821204,0.6156221922731356,0.2936802973977695,5.779728413225441,22499938.123835053,20630705.21193527,0.916922753226613,1021034.5548903148,3629016.2568352427,5087389.958665968,0.049491015668219916,0.17590364553974555,0.2465931196439573,1253.622866,1200.223127,0.9574036654497334,113.621638,404.771904,517.552724,0.09466709601239004,0.3372472125343407,0.43121375714000887
Brantas,003D_09757_111111,0.3,29,1320,1320,991,0.7507575757575757,-15.838473669785605,0.519224746859668,0.22199798183652875,0.4661957618567104,0.5227043390514632,0.4298688193743693,0.2613981762917933,2.458830721533566,5588066.85194807,3238570.5387156,0.5795511443436998,164956.9294207841,472516.6019206913,620382.2944253507,0.05093510468547804,0.1459028285078172,0.19156053172502183,193.539557,122.084926,0.6308008961702852,7.60141,21.486043,28.077578,0.062263296944620336,0.17599259551502697,0.22998398672085038
