family,left_out_region,observed_log_or,predicted_log_or,abs_log_error,observed_or,predicted_or
landcover_size_stack,Po,0.28438163198510186,0.45631631446542437,0.1719346824803225,1.32894,1.5782494889624588
landcover_size_stack,Chao Phraya,1.2702856878510969,1.0887980227802003,0.18148766507089653,3.56187,2.970701210561929
landcover_size_stack,Indus,1.2206529145771343,1.3124617288495046,0.09180881427237031,3.3894,3.7153085460876945
landcover_size_stack,Rhone,0.4648528869181676,0.15026525346134983,0.3145876334568178,1.59178,1.162142464159275
landcover_size_stack,Brantas,0.46480891002487673,0.38429852580415536,0.08051038422072138,1.59171,1.4685837864059348
landcover_size_stack,Rhine,-0.2105370976152089,0.1706968207487557,0.3812339183639646,0.810149,1.1861310841690305
exposure_composition_stack,Po,0.28438163198510186,0.8488140370099757,0.5644324050248739,1.32894,2.336873762065882
exposure_composition_stack,Chao Phraya,1.2702856878510969,0.3302785971169997,0.9400070907340972,3.56187,1.391355702160159
exposure_composition_stack,Indus,1.2206529145771343,1.3257841894320075,0.10513127485487317,3.3894,3.7651367780827014
exposure_composition_stack,Rhone,0.4648528869181676,0.32072060549292625,0.14413228142524137,1.59178,1.3781204878054336
exposure_composition_stack,Brantas,0.46480891002487673,-0.14584146994641514,0.6106503799712919,1.59171,0.8642947090111179
exposure_composition_stack,Rhine,-0.2105370976152089,0.19057721523842225,0.40111431285363114,0.810149,1.2099477964381777
hidden_stratified_stack,Po,0.28438163198510186,1.6122188778123385,1.3278372458272367,1.32894,5.013924179247531
hidden_stratified_stack,Chao Phraya,1.2702856878510969,1.0452907159839424,0.22499497186715445,3.56187,2.8442252652189843
hidden_stratified_stack,Indus,1.2206529145771343,0.8344661862386991,0.38618672833843526,3.3894,2.303584035158973
hidden_stratified_stack,Rhone,0.4648528869181676,0.27506357956114813,0.1897893073570195,1.59178,1.31661438197117
hidden_stratified_stack,Brantas,0.46480891002487673,1.1875426427962597,0.722733732771383,1.59171,3.2790135912659286
hidden_stratified_stack,Rhine,-0.2105370976152089,0.2256676510581987,0.4362047486734076,0.810149,1.2531591099570583
full_stratified_control_stack,Po,0.28438163198510186,0.5571840993972831,0.2728024674121812,1.32894,1.745749714837479
full_stratified_control_stack,Chao Phraya,1.2702856878510969,0.6689236199425653,0.6013620679085315,3.56187,1.952134950234282
full_stratified_control_stack,Indus,1.2206529145771343,1.4652553645272657,0.24460244995013136,3.3894,4.328648482448368
full_stratified_control_stack,Rhone,0.4648528869181676,0.16641649537127554,0.29843639154689205,1.59178,1.1810649073658737
full_stratified_control_stack,Brantas,0.46480891002487673,0.2809725554111718,0.18383635461370496,1.59171,1.3244172553494635
full_stratified_control_stack,Rhine,-0.2105370976152089,0.18982966263924644,0.40036676025445533,0.810149,1.2090436348143758
