family,term,beta,se,z,or,or_ci_low,or_ci_high
landcover_size_stack,intercept,0.5824077267889463,0.07917088709147148,7.356337009538004,1.790343904448103,1.5330094865399293,2.090875056115311
landcover_size_stack,signal_code,0.19286197822631634,24.187301130170216,0.007973687398539413,1.2127154008368708,3.1268894233924816e-21,4.703327954051355e+20
landcover_size_stack,anchor_code,0.0007231522101840979,21.360560440222084,3.385455228142784e-05,1.0007234137477836,6.574124782408044e-19,1.5233166147117117e+18
landcover_size_stack,n_cells_log,-0.06360637685645985,13.563812922569896,-0.004689417143952213,0.9383742926836989,2.6707021378947016e-12,329705922901.5195
landcover_size_stack,landcover_adjusted_or,0.13589200184528158,27.558281474107773,0.004931076778969623,1.1455581687456071,3.9896461567527956e-24,3.289272949077499e+23
landcover_size_stack,landcover_adjusted_boot_q025,0.15591744551727663,26.887302870346236,0.005798924729234801,1.1687297152300868,1.5162815037955635e-23,9.008413964310685e+22
landcover_size_stack,landcover_adjusted_boot_q975,0.11943077757566321,25.904157598432974,0.004610486834858045,1.1268552377159113,1.004162570043934e-22,1.2645389946293584e+22
landcover_size_stack,landcover_built_up,0.019790826759886995,18.128422106009303,0.001091701563663758,1.019987963524,3.7789454411532655e-16,2753084059917876.0
landcover_size_stack,landcover_vegetation_non_crop,0.0532040951061701,0.990905259777471,0.05369241366033138,1.054644871012254,0.15122746059163197,7.354985659357165
landcover_size_stack,landcover_water_wetland_mangrove,-0.018876103529662253,17.080071042460137,-0.0011051536895096792,0.9813009344335832,2.837606877448025e-15,339353393725293.75
exposure_composition_stack,intercept,0.5824073310077011,0.07917095762242164,7.356325456934479,1.7903431958637037,1.5330086678794979,2.0908745176302
exposure_composition_stack,signal_code,0.43968732278553163,10.684755799361728,0.04115090050179688,1.5522217982372515,1.2471136396551678e-09,1931975109.8136413
exposure_composition_stack,anchor_code,0.036889718956162575,12.667752650987671,0.002912096563022675,1.037578589278568,1.7100635711844848e-11,62954930276.86776
exposure_composition_stack,n_cells_log,0.003720208820347435,11.763506216381018,0.0003162499982502613,1.003727137386421,9.73457564914963e-11,10349379393.994915
exposure_composition_stack,strong_cells_log,0.1553771532751957,26.319681709553485,0.005903458673620551,1.1680984301864212,4.6101396132204427e-23,2.959680307058719e+22
exposure_composition_stack,cropland_fraction,-0.021589657705758474,9.81831316237432,-0.002198917201836078,0.9786417307632824,4.296421130800784e-09,222915679.82602498
exposure_composition_stack,built_up_fraction,0.05469235254758497,18.540767878102162,0.002949842903334125,1.0562156226410653,1.743943275378467e-16,6396947981401208.0
exposure_composition_stack,water_wetland_mangrove_fraction,0.045220248949310086,21.31060844245732,0.002121959542892139,1.04625827181887,7.580237022464635e-19,1.4440925370873157e+18
hidden_stratified_stack,intercept,0.5824088817317672,0.0791708319105984,7.356356724777595,1.7903459721941366,1.533011422881345,2.0908772448200224
hidden_stratified_stack,signal_code,0.4717038754090285,8.178155662704802,0.057678515164508316,1.602722707842141,1.7517484920897482e-07,14663749.332922144
hidden_stratified_stack,anchor_code,0.028771578100818488,9.840625917773968,0.002923754885230599,1.029189478208071,4.324993407954246e-09,244909270.8687452
hidden_stratified_stack,n_cells_log,0.009976678646978722,10.738218306437341,0.000929081376656117,1.010026611622326,7.30763526283559e-10,1396010774.3382711
hidden_stratified_stack,strong_cells_log,0.13646562826139116,27.083381239718566,0.0050387219769022175,1.1462154796798236,1.0125739326926126e-23,1.2974953071959843e+23
