deformation_abs_threshold_mm_yr,observability_fraction_threshold,min_observable_count,strong_cells,hidden_strong_cells,strong_population,hidden_population,hidden_population_fraction,strong_builtup_km2,hidden_builtup_km2,hidden_builtup_fraction,run
3.0,0.25,1,18075,11025,22498778.64811365,2718771.755192932,0.1208408597513305,1253.54722987311,304.2854291509831,0.2427395010731142,0
3.0,0.25,4,18075,11025,22498778.64811365,2718771.755192932,0.1208408597513305,1253.54722987311,304.2854291509831,0.2427395010731142,1
3.0,0.25,8,18075,11370,22498778.64811365,2932206.7852090797,0.1303273760353619,1253.54722987311,323.6095406274672,0.2581550442740195,2
3.0,0.25,14,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,3
3.0,0.33,1,18075,11869,22498778.64811365,3250682.4893632904,0.1444826201548427,1253.54722987311,353.90927487970544,0.282326239048472,4
3.0,0.33,4,18075,11869,22498778.64811365,3250682.4893632904,0.1444826201548427,1253.54722987311,353.90927487970544,0.282326239048472,5
3.0,0.33,8,18075,11869,22498778.64811365,3250682.4893632904,0.1444826201548427,1253.54722987311,353.90927487970544,0.282326239048472,6
3.0,0.33,14,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,7
3.0,0.5,1,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,8
3.0,0.5,4,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,9
3.0,0.5,8,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,10
3.0,0.5,14,18075,12666,22498778.64811365,3832995.1981842974,0.1703645899243364,1253.54722987311,408.23915618892704,0.3256671519510685,11
3.0,0.67,1,18075,13563,22498778.64811365,4750757.104882369,0.2111562222636776,1253.54722987311,482.24339930841495,0.3847030154238623,12
3.0,0.67,4,18075,13563,22498778.64811365,4750757.104882369,0.2111562222636776,1253.54722987311,482.24339930841495,0.3847030154238623,13
3.0,0.67,8,18075,13563,22498778.64811365,4750757.104882369,0.2111562222636776,1253.54722987311,482.24339930841495,0.3847030154238623,14
3.0,0.67,14,18075,13563,22498778.64811365,4750757.104882369,0.2111562222636776,1253.54722987311,482.24339930841495,0.3847030154238623,15
3.0,0.75,1,18075,13995,22498778.64811365,5362203.467892694,0.2383330913983757,1253.54722987311,523.6414869586379,0.4177277684317035,16
3.0,0.75,4,18075,13995,22498778.64811365,5362203.467892694,0.2383330913983757,1253.54722987311,523.6414869586379,0.4177277684317035,17
3.0,0.75,8,18075,13995,22498778.64811365,5362203.467892694,0.2383330913983757,1253.54722987311,523.6414869586379,0.4177277684317035,18
3.0,0.75,14,18075,13995,22498778.64811365,5362203.467892694,0.2383330913983757,1253.54722987311,523.6414869586379,0.4177277684317035,19
4.0,0.25,1,18048,11018,22342055.13088751,2718060.280360737,0.1216566812872583,1248.5395906406898,304.15253108578133,0.2436066371989894,20
4.0,0.25,4,18048,11018,22342055.13088751,2718060.280360737,0.1216566812872583,1248.5395906406898,304.15253108578133,0.2436066371989894,21
4.0,0.25,8,18048,11363,22342055.13088751,2931495.3103768844,0.1312097429356059,1248.5395906406898,323.4766425622654,0.2590840090191076,22
4.0,0.25,14,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,23
4.0,0.33,1,18048,11861,22342055.13088751,3246545.546865393,0.1453109630177708,1248.5395906406898,353.6596661302749,0.2832586717965378,24
4.0,0.33,4,18048,11861,22342055.13088751,3246545.546865393,0.1453109630177708,1248.5395906406898,353.6596661302749,0.2832586717965378,25
4.0,0.33,8,18048,11861,22342055.13088751,3246545.546865393,0.1453109630177708,1248.5395906406898,353.6596661302749,0.2832586717965378,26
4.0,0.33,14,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,27
4.0,0.5,1,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,28
4.0,0.5,4,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,29
4.0,0.5,8,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,30
4.0,0.5,14,18048,12658,22342055.13088751,3828858.255686401,0.1713744878551064,1248.5395906406898,407.9895474394965,0.3267734163160465,31
4.0,0.67,1,18048,13554,22342055.13088751,4744709.992805588,0.2123667659492124,1248.5395906406898,481.8177004558797,0.3859050238115671,32
4.0,0.67,4,18048,13554,22342055.13088751,4744709.992805588,0.2123667659492124,1248.5395906406898,481.8177004558797,0.3859050238115671,33
4.0,0.67,8,18048,13554,22342055.13088751,4744709.992805588,0.2123667659492124,1248.5395906406898,481.8177004558797,0.3859050238115671,34
4.0,0.67,14,18048,13554,22342055.13088751,4744709.992805588,0.2123667659492124,1248.5395906406898,481.8177004558797,0.3859050238115671,35
4.0,0.75,1,18048,13986,22342055.13088751,5356156.3558159135,0.2397342735230797,1248.5395906406898,523.2157881061025,0.419062232409958,36
4.0,0.75,4,18048,13986,22342055.13088751,5356156.3558159135,0.2397342735230797,1248.5395906406898,523.2157881061025,0.419062232409958,37
4.0,0.75,8,18048,13986,22342055.13088751,5356156.3558159135,0.2397342735230797,1248.5395906406898,523.2157881061025,0.419062232409958,38
4.0,0.75,14,18048,13986,22342055.13088751,5356156.3558159135,0.2397342735230797,1248.5395906406898,523.2157881061025,0.419062232409958,39
5.0,0.25,1,17808,10963,20644645.926747628,2695850.255520332,0.1305835064978049,1200.2231319405846,302.43892444340054,0.2519855820095728,40
5.0,0.25,4,17808,10963,20644645.926747628,2695850.255520332,0.1305835064978049,1200.2231319405846,302.43892444340054,0.2519855820095728,41
5.0,0.25,8,17808,11304,20644645.926747628,2899759.2253262056,0.1404605937837479,1200.2231319405846,321.3226492198242,0.2677190937824141,42
5.0,0.25,14,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,43
5.0,0.33,1,17808,11799,20644645.926747628,3212911.308498396,0.1556292764670612,1200.2231319405846,351.32935859952283,0.2927200361748359,44
5.0,0.33,4,17808,11799,20644645.926747628,3212911.308498396,0.1556292764670612,1200.2231319405846,351.32935859952283,0.2927200361748359,45
5.0,0.33,8,17808,11799,20644645.926747628,3212911.308498396,0.1556292764670612,1200.2231319405846,351.32935859952283,0.2927200361748359,46
5.0,0.33,14,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,47
5.0,0.5,1,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,48
5.0,0.5,4,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,49
5.0,0.5,8,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,50
5.0,0.5,14,17808,12589,20644645.926747628,3772492.050798737,0.1827346453014734,1200.2231319405846,404.7722544215834,0.3372475031097977,51
5.0,0.67,1,17808,13471,20644645.926747628,4636616.11014176,0.2245916993003239,1200.2231319405846,476.5626770319424,0.3970617332307289,52
5.0,0.67,4,17808,13471,20644645.926747628,4636616.11014176,0.2245916993003239,1200.2231319405846,476.5626770319424,0.3970617332307289,53
5.0,0.67,8,17808,13471,20644645.926747628,4636616.11014176,0.2245916993003239,1200.2231319405846,476.5626770319424,0.3970617332307289,54
5.0,0.67,14,17808,13471,20644645.926747628,4636616.11014176,0.2245916993003239,1200.2231319405846,476.5626770319424,0.3970617332307289,55
5.0,0.75,1,17808,13901,20644645.926747628,5238414.058200945,0.2537420150865338,1200.2231319405846,517.5530393729658,0.4312140181269115,56
5.0,0.75,4,17808,13901,20644645.926747628,5238414.058200945,0.2537420150865338,1200.2231319405846,517.5530393729658,0.4312140181269115,57
5.0,0.75,8,17808,13901,20644645.926747628,5238414.058200945,0.2537420150865338,1200.2231319405846,517.5530393729658,0.4312140181269115,58
5.0,0.75,14,17808,13901,20644645.926747628,5238414.058200945,0.2537420150865338,1200.2231319405846,517.5530393729658,0.4312140181269115,59
6.0,0.25,1,17031,10753,17003088.747547787,2623814.3748916127,0.1543139845853021,1065.9135504631029,294.1397943167932,0.2759508913166547,60
6.0,0.25,4,17031,10753,17003088.747547787,2623814.3748916127,0.1543139845853021,1065.9135504631029,294.1397943167932,0.2759508913166547,61
6.0,0.25,8,17031,11084,17003088.747547787,2811607.340957423,0.1653586229362543,1065.9135504631029,312.101790887375,0.2928021608804743,62
6.0,0.25,14,17031,12338,17003088.747547787,3640835.125753042,0.214127866989939,1065.9135504631029,392.23336654245867,0.3679785911081126,63
6.0,0.33,1,17031,11569,17003088.747547787,3113123.775321855,0.1830916618470767,1065.9135504631029,341.00040358812964,0.3199137523300803,64
