term,beta,se,z,or,or_ci_low,or_ci_high
intercept,-0.518537525195568,0.6490340691588429,-0.7989372974944131,0.5953906553923244,0.16685263175212126,2.124569620544776
anchor_code,0.052481719624480117,0.3102384501528506,0.1691657484706458,1.0538832965200324,0.5737361584093581,1.9358549856142635
signal_code,0.8563571367469985,0.2166738973246582,3.952285657482113,2.354567683537004,1.5398365862810586,3.6003748876667467
cropland_fraction,-0.4733652014639745,0.34894947454642433,-1.356543671771593,0.6229025447124452,0.31433179732896593,1.2343885776314507
built_up_fraction,0.2857246061294013,0.6781831978571262,0.4213088838417305,1.330725931020495,0.352214659309129,5.0277052833742335
log1p_ngl_station_count,0.10876635132490445,0.19660146563851694,0.553232657608406,1.1149018245727096,0.7583786185138646,1.6390310170813875
