left_out_region,pooled_random_or,pooled_random_ci_low,pooled_random_ci_high,tau2,i2
Po,1.896379515343537,1.1445852185829057,3.141972487349662,0.2888242488647115,0.8829763605264452
Chao Phraya,1.5622205556559021,1.0799641544552874,2.2598278419201727,0.14603576242101626,0.8637682001293919
Indus,1.5449679104690053,1.0961680158110028,2.177518236210341,0.11854278599393127,0.826242542959662
Rhone,1.819428857341335,1.0957389065697634,3.021085905664732,0.2942318057727878,0.9045127684712303
Brantas,1.8068303624205668,1.1679612674236133,2.7951577245076322,0.21648415135138063,0.9045707538214754
Rhine,2.0471147011437973,1.3840202562499095,3.0279026486172733,0.16592370156149513,0.8747430175250965
