row,col,lon_center,lat_center,vlm_mm_yr,observable_count,observable_fraction,any_observable,majority_observable,not_majority_observable,strong_sub_5mm,population_weighted,population_cover_fraction,builtup_m2_weighted,builtup_cover_fraction
75,35,100.05291627274998,14.687083462957142,-9.432955652109346,28,1.0,1,1,0,1,338.0858451129724,1.0000000000018558,49451.84027978715,1.0000000000018558
75,36,100.06124960604998,14.687083462957142,-9.432955652109346,28,1.0,1,1,0,1,206.92383583542485,1.0000000000001503,49928.92265385365,1.0000000000001508
75,37,100.06958293934998,14.687083462957142,-10.601248557557579,28,1.0,1,1,0,1,63.29397332925134,1.0000000000001505,9759.08530580942,1.0000000000001508
75,39,100.08624960594999,14.687083462957142,-9.57918181033735,28,1.0,1,1,0,1,138.44612515459582,1.0000000000001505,38016.87973631688,1.0000000000001508
76,34,100.04458293944998,14.678750129657306,-11.97777370931081,28,1.0,1,1,0,1,40.9737294275851,1.0000000000005451,8544.034540162056,1.000000000000545
76,35,100.05291627274998,14.678750129657306,-11.92618841230481,28,1.0,1,1,0,1,37.32784607507147,1.0000000000022504,12941.014524155004,1.0000000000022504
76,36,100.06124960604998,14.678750129657306,-11.195407736308024,28,1.0,1,1,0,1,28.556319907600056,1.0000000000005451,5111.017652653604,1.0000000000005451
76,37,100.06958293934998,14.678750129657306,-11.253055311939569,28,1.0,1,1,0,1,11.433437937896592,1.0000000000005451,3161.9993070905402,1.0000000000005451
76,38,100.07791627264999,14.678750129657306,-10.204594937282945,28,1.0,1,1,0,1,153.73528646545927,1.0000000000005451,32847.87863922541,1.000000000000545
76,39,100.08624960594999,14.678750129657306,-8.888583034194845,28,1.0,1,1,0,1,77.04728691824685,1.0000000000005451,16617.07813071409,1.0000000000005451
76,40,100.09458293924997,14.678750129657306,-11.252240821403426,28,1.0,1,1,0,1,60.1870935335411,1.0000000000005451,9178.033494954487,1.0000000000005451
76,41,100.10291627254998,14.678750129657306,-11.050747636552117,28,1.0,1,1,0,1,495.71720398449736,1.0000000000005451,56253.87884780931,1.0000000000005451
76,42,100.11124960584998,14.678750129657306,-10.5681587528397,28,1.0,1,1,0,1,160.39066220533738,1.0000000000005451,18686.22375759982,1.000000000000545
76,43,100.11958293914998,14.678750129657306,-10.41171652367721,28,1.0,1,1,0,1,26.334626916834154,1.0000000000005451,4774.071911900753,1.000000000000545
76,44,100.12791627244998,14.678750129657306,-11.594115420907345,28,1.0,1,1,0,1,143.1933597944734,1.0000000000005451,30831.00328646392,1.0000000000005451
77,33,100.03624960614998,14.67041679635747,-12.891404862329338,28,1.0,1,1,0,1,142.2780975062691,1.0000000000001505,35489.939385496116,1.0000000000001505
77,34,100.04458293944998,14.67041679635747,-12.891404862329338,28,1.0,1,1,0,1,93.15482426368108,1.0000000000001505,24760.022403782208,1.0000000000001508
77,35,100.05291627274998,14.67041679635747,-11.742598415958167,28,1.0,1,1,0,1,92.74603443109363,1.000000000001856,27697.990333376587,1.0000000000018558
77,36,100.06124960604998,14.67041679635747,-11.939317884715933,28,1.0,1,1,0,1,32.32761923472387,1.0000000000001503,4428.053451304791,1.0000000000001508
77,38,100.07791627264999,14.67041679635747,-10.268606587550988,28,1.0,1,1,0,1,67.0348248143729,1.0000000000001508,3423.04660569186,1.0000000000001508
77,39,100.08624960594999,14.67041679635747,-10.25348104930673,28,1.0,1,1,0,1,114.68117794320615,1.0000000000001508,39631.87849463826,1.0000000000001508
77,40,100.09458293924997,14.67041679635747,-10.863060610265196,28,1.0,1,1,0,1,73.68124873233543,1.0000000000001508,18365.04249005265,1.0000000000001508
77,41,100.10291627254998,14.67041679635747,-10.355544090422757,28,1.0,1,1,0,1,255.16954606403016,1.0000000000001505,51532.91303557768,1.0000000000001508
77,42,100.11124960584998,14.67041679635747,-10.404651038738312,28,1.0,1,1,0,1,439.5235933397942,1.0000000000001508,97195.85893214276,1.0000000000001508
77,43,100.11958293914998,14.67041679635747,-9.77413482829567,28,1.0,1,1,0,1,199.94390379066002,1.0000000000001505,27407.206920694745,1.0000000000001505
77,44,100.12791627244998,14.67041679635747,-12.249187688736926,28,1.0,1,1,0,1,195.5087478238291,1.0000000000001508,69594.95152943245,1.000000000000151
77,45,100.13624960574998,14.67041679635747,-11.398157807341683,28,1.0,1,1,0,1,120.97213163715186,1.0000000000001505,20288.20441576827,1.0000000000001505
77,46,100.14458293904998,14.67041679635747,-10.110459139041561,28,1.0,1,1,0,1,149.65776951916416,1.0000000000018558,42477.90658327219,1.0000000000018558
77,47,100.15291627234998,14.67041679635747,-10.670323219636959,28,1.0,1,1,0,1,79.3168331030493,1.0000000000001508,14047.081798114175,1.0000000000001505
77,48,100.16124960564999,14.67041679635747,-9.082035217227256,28,1.0,1,1,0,1,62.289733216594705,1.0000000000001505,15271.01411408978,1.0000000000001505
77,49,100.16958293894999,14.67041679635747,-9.006631083072161,28,1.0,1,1,0,1,71.87705926959656,1.0000000000001508,13457.07255676862,1.0000000000001508
77,50,100.17791627224999,14.67041679635747,-9.006631083072161,28,1.0,1,1,0,1,145.15439027787886,1.0000000000001505,31095.94946413881,1.0000000000001505
78,32,100.02791627284998,14.662083463057634,-12.943733777201933,28,1.0,1,1,0,1,89.52387675701259,1.0000000000001505,21762.033678529046,1.0000000000001508
78,33,100.03624960614998,14.662083463057634,-13.041977773988576,28,1.0,1,1,0,1,48.747201085648506,1.0000000000001505,8694.0326103629,1.0000000000001505
