left_out_block,n_cells_left_out,converged,strong_beta,strong_odds_ratio,strong_ci_low,strong_ci_high
150005,1,True,1.7949419019421826,6.019125012175656,4.550385044453193,7.961934112886097
150006,11,True,1.794991193514296,6.019421711622583,4.550584258277062,7.9623704750545645
150007,23,True,1.7949323064692364,6.019067256101541,4.550333010330131,7.96187236213845
150008,20,True,1.7955633227070582,6.02286658386937,4.552978480780167,7.967294824743926
150009,15,True,1.7942576262616952,6.015007680167747,4.5475037908018034,7.956082953830317
150010,10,True,1.7949960452610083,6.01945091640293,4.550606741746483,7.962408397671792
150011,4,True,1.795291108138455,6.021227294969771,4.5518506479642244,7.9649313963989155
150012,1,True,1.7949350927242649,6.019084026781313,4.550354713688837,7.96187875474083
160005,12,True,1.7949275727238376,6.019038763437051,4.550316783660864,7.961825375729259
160006,25,True,1.7948017050948917,6.018281208976155,4.549779462207571,7.960761397595639
160007,25,True,1.7942798722109616,6.015141491211809,4.54759562624505,7.956276268383442
160008,25,True,1.8102419170121338,6.1119258322340615,4.611123717932244,8.101200415303826
160009,24,True,1.7879062684916993,5.976925279895605,4.507955050669422,7.9245767537434215
160010,25,True,1.7942019279067427,6.014672663464961,4.547251527600565,7.955638044003632
160011,25,True,1.7941721417526255,6.01449351216617,4.547122800362907,7.9553893299301
160012,21,True,1.7948661870946714,6.018669292295806,4.550046573300654,7.961320717591453
160013,22,True,1.8137284610759943,6.133272522427006,4.626039410220799,8.131584817726981
160014,15,True,1.7951424659904913,6.020332353325941,4.551219735309301,7.963667709407989
160015,11,True,1.7948531310983313,6.01859071308452,4.549999610924629,7.961195004204865
160016,6,True,1.7951355727571034,6.020290853912989,4.551201324327995,7.963590134316889
160017,1,True,1.7949267139140153,6.019033594229659,4.550317118980374,7.961811113635806
170005,17,True,1.7941742036673807,6.014505913551873,4.5471575747920365,7.955361297503501
170006,24,True,1.7938190434271863,6.012370179473329,4.545660243122798,7.952331067793714
170007,25,True,1.7947062418022808,6.017706711458236,4.549374628339328,7.9599498883978175
170008,24,True,1.80217216337877,6.06280256943583,4.578893274441727,8.02761121363749
170009,24,True,1.8698843043234448,6.487545774867942,4.8398321056184725,8.696221121420184
170010,25,True,1.8657497541844494,6.460778065931791,4.839327182897218,8.625507563271505
170011,25,True,1.7955892317908837,6.023022632846096,4.553100056809481,7.967494933813679
