left_out_block,n_cells_left_out,converged,strong_beta,strong_odds_ratio,strong_ci_low,strong_ci_high
150005,1,True,0.3891097050921375,1.4756664305751344,1.2528695789929447,1.7380830781099368
150006,11,True,0.3877997731847124,1.4737346735443226,1.2512385940201354,1.7357951540070868
150007,23,True,0.38677418434759897,1.4722240025103575,1.2499587068246052,1.7340120931464928
150008,20,True,0.3889971449061998,1.4755003386351722,1.2527251453299446,1.7378921924163178
150009,15,True,0.3901855154157886,1.4772548220061663,1.2542093165073813,1.7399661925790093
150010,10,True,0.3893201563400726,1.4759770190977097,1.2531330006799266,1.738449278506386
150011,4,True,0.38830603844735906,1.4744809631101978,1.2518707800633693,1.7366761371843222
150012,1,True,0.3889318509486574,1.47540400052389,1.252648826464284,1.737771128486316
160005,12,True,0.38904013601794857,1.4755637733986715,1.252783994940593,1.737959982055624
160006,25,True,0.3886354989982607,1.4749668264526055,1.2522775390753387,1.7372563758845698
160007,25,True,0.3882245039281667,1.4743607469147637,1.2517652696938368,1.7365393214454052
160008,25,True,0.3603175839846383,1.4337846893172748,1.2170634652563934,1.689097236098169
160009,24,True,0.3897119392320289,1.4765553949341936,1.2536323271056622,1.7391190280988291
160010,25,True,0.3903521148502367,1.477500952326065,1.2544194063568728,1.7402545377262597
160011,25,True,0.38961023527908556,1.4764052310500488,1.2534914962073378,1.738960665363298
160012,21,True,0.38739974228288376,1.4731452520350776,1.2507346298056041,1.7351058185146677
160013,22,True,0.38152115322497676,1.4645106410068007,1.242768544449137,1.7258172708039048
160014,15,True,0.3887504698416556,1.475136414381269,1.252419834158168,1.7374584637557065
160015,11,True,0.3897750823380033,1.4766486321715864,1.2537016437774828,1.7392425013691921
160016,6,True,0.38921435606170574,1.475820868578756,1.2530013045449517,1.738264140853028
160017,1,True,0.38904464927652893,1.475570433014561,1.2527897736090485,1.737967653195611
170005,17,True,0.38920285570366225,1.4758038962079536,1.2529846136136673,1.7382473147703936
170006,24,True,0.3871685588498398,1.4728047246220046,1.2504493454375565,1.734699422078445
170007,25,True,0.3866722503486697,1.4720739404788032,1.2498332909766687,1.733832585418981
170008,24,True,0.41178103769150953,1.5095038756866093,1.279443830685572,1.780931601735058
170009,24,True,0.43842475942022513,1.5502632565116534,1.3000847281400962,1.8485842595261504
170010,25,True,0.3842531594141095,1.4685171635722958,1.2392739531460717,1.740166211217248
170011,25,True,0.3885080269372602,1.4747788213742823,1.2521193291023363,1.7370329819390204
170012,25,True,0.38881034293297995,1.475224738002601,1.2524956179994604,1.7375613905068208
170013,24,True,0.3863693753903031,1.4716281536576086,1.249443874011329,1.7333226947480036
170014,25,True,0.3883165809422548,1.4744965079001655,1.2518779864031135,1.7367027581150347
170015,24,True,0.3895819289913853,1.4763634400902927,1.2534587261262795,1.738907681444993
170016,25,True,0.3878523590449255,1.4738121731875318,1.2513064296232193,1.7358836096525154
170017,24,True,0.38843991462434624,1.4746783741986054,1.2520349909182256,1.7369133635268164
170018,18,True,0.38826471686637887,1.4744200364844777,1.2518146363327,1.736610501979399
170019,14,True,0.38988627545016524,1.4768128344574798,1.2538414668482125,1.7394353318850313
170020,8,True,0.3876179851783703,1.4734667906058323,1.2510039724431072,1.735489599428101
170021,2,True,0.3893466843357968,1.4760161743291138,1.253167919138986,1.7384930731214536
170022,4,True,0.38948640294740067,1.4762224156672372,1.2533434792288274,1.7387353559770211
180005,22,True,0.38934237589997345,1.476009815021852,1.2531594178065955,1.738489886509454
180006,25,True,0.38931451008238105,1.4759686853746403,1.2531172789831213,1.7384514576116434
180007,24,True,0.3880766521541315,1.4741427761768418,1.2515870264194995,1.7362731305797354
180008,25,True,0.38775781585994223,1.4736728408771753,1.2516385194711634,1.7350949240972438
180009,25,True,0.416434996447453,1.516545417278479,1.274541088782132,1.804500477003844
180010,25,True,0.3791985160990299,1.4611130614202912,1.2390577352949248,1.72296360164753
180011,25,True,0.3896813290954673,1.4765101980636588,1.2535817328716754,1.7390827481124054
180012,25,True,0.3866963213839251,1.4721093752489973,1.249854258758999,1.7338869692277152
180013,23,True,0.3833960522969112,1.467259026315891,1.2457367985829535,1.7281732808682846
180014,25,True,0.38994761624454166,1.4769034261083442,1.2539127514021935,1.7395498431700132
180015,25,True,0.38733336100866816,1.473047466021759,1.2506496899957766,1.7349933034888871
180016,25,True,0.39049020816997754,1.4777049994259384,1.2545961758699207,1.7404899738470223
180017,25,True,0.3906414762159714,1.4779285458810483,1.2547840037571225,1.740756002778037
180018,23,True,0.3901815731982312,1.4772489983577493,1.2542106152294683,1.7399506722797986
180019,15,True,0.3887276781645341,1.4751027939315369,1.2523916803938357,1.7374183226611413
180020,10,True,0.38740016984156966,1.4731458818912604,1.2507321670577232,1.7351107187387331
180021,11,True,0.3825962997108466,1.4660860512226204,1.2447380427905232,1.7267957077706662
180022,24,True,0.8381160764637251,2.3120072265224034,1.9059323430832298,2.8045997723322067
180023,25,True,0.3888071456596363,1.4752200213134106,1.2524912107102448,1.737556393748942
180024,15,True,0.38692347829768886,1.4724438130548934,1.2501329280846776,1.7342881975961986
180025,8,True,0.3884634958447064,1.4747131493243262,1.2520607802001014,1.736959504827317
190004,2,True,0.3891446088459522,1.475717937771832,1.2529135609612947,1.7381433960940451
