term,beta,std_error,z,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
intercept,-1.780989138427821,0.08333653465949291,-21.371048672767767,0.16847142326688758,0.1430832362530752,0.19836440103556002
strong_sub_5mm,0.38893766511289385,0.08350584056691143,4.657610323690431,1.4754125787900019,1.252656150923111,1.7377811748639869
log1p_population_weighted_z,0.6738059010888516,0.09781412788570573,6.88863577944674,1.9616891260046303,1.619455870527714,2.376245192671309
log1p_builtup_m2_weighted_z,2.550754926977804,0.1875755472626869,13.598547167801375,12.816775861213257,8.873833182669284,18.5117006478553
row_z,0.06934271891404306,0.004020198012602952,17.248582954536072,1.0718034735330426,1.0633912894298423,1.0802822040167612
col_z,0.1568437277573031,0.003796083880777654,41.317245003862396,1.1698127903478792,1.1611413030356559,1.1785490369551248
strong_x_log1p_population_weighted_z,0.004502596804585249,0.09818767202943028,0.04585704815606244,1.0045127487245262,0.8286600831072658,1.2176836834790405
strong_x_log1p_builtup_m2_weighted_z,-0.9503709570527756,0.1881476281218778,-5.051198181659493,0.3865975857505119,0.2673650547461562,0.559002347745197
