"region","country_or_area","country_iso","gvi_national","gvi_min","gvi_median","gvi_max","gvi_spread","gvi_rel_spread","shdi_national","shdi_min","shdi_median","shdi_max","shdi_spread","shdi_rel_spread","note"
"Po","Italy","ITA","25.2","20.9","26.9","33.1","12.2","48.4%","0.915","0.9","0.9","0.9","","","retrieved_from_public_table"
"Chao Phraya","Thailand","THA","32.3","31.0","34.9","35.4","4.4","13.6%","0.798","0.8","0.8","0.8","","","retrieved_from_public_table"
"Brantas","Indonesia","IDN","39.5","30.1","41.4","56.1","26.0","65.8%","0.728","0.5","0.7","0.8","0.300","41.2%","retrieved_from_public_table"
"Indus","Pakistan_or_India_basin_context","IND","48.3","34.4","45.1","60.9","26.5","54.9%","0.685","0.6","0.7","0.8","0.200","29.2%","retrieved_from_public_table"
"Rhone","France","FRA","23.6","15.5","28.1","35.2","19.7","83.5%","0.920","0.8","0.9","1.0","0.200","21.7%","retrieved_from_public_table"
"Rhine","Multi_country_basin_context","","","","","","0.0","","","","","","","","multi_country_context_unresolved"
