region,strong_cells,strong_sub_5mm_fraction,strong_sub_5mm_population_fraction,strong_sub_5mm_population_not_majority_fraction,strong_sub_5mm_builtup_fraction,strong_sub_5mm_builtup_not_majority_fraction,strong_vs_nonstrong_not_majority_odds_ratio
Po,2013,0.892683,0.619712,0.340347,0.708005,0.460331,2.603371
Chao Phraya,17808,0.985119,0.916923,0.175904,0.957404,0.337247,5.779728
Brantas,991,0.750758,0.579551,0.145903,0.630801,0.175993,2.458831
