region,frame_id,threshold,strong_cells,strong_sub_5mm_fraction,strong_sub_5mm_never_observable_fraction,strong_sub_5mm_not_majority_fraction,strong_sub_5mm_not_stable75_fraction,strong_sub_5mm_obs_lt_0p25_fraction,strong_vs_nonstrong_not_majority_odds_ratio,total_population_vlm_grid,strong_sub_5mm_population,strong_sub_5mm_population_fraction,strong_sub_5mm_population_not_majority_fraction,strong_sub_5mm_builtup_km2,strong_sub_5mm_builtup_fraction,strong_sub_5mm_builtup_not_majority_fraction,source
Po,117A_04454_131312,0.3,2013,0.892683,0.040238,0.827620,0.943368,0.155986,2.603371,109261.497909,67710.668699,0.619712,0.340347,26.034275,0.708005,0.460331,multi_delta_vlm_exposure_censoring_summary.csv + area_weighted_chao_phraya_summary
Chao Phraya,062D_07629_131313,0.3,17808,0.985119,0.254661,0.706929,0.780604,0.615622,5.779728,22499938.123835,20630705.211935,0.916923,0.175904,1253.622866,0.957404,0.337247,multi_delta_vlm_exposure_censoring_summary.csv + area_weighted_chao_phraya_summary
Brantas,003D_09757_111111,0.3,991,0.750758,0.221998,0.466196,0.522704,0.429869,2.458831,5588066.851948,3238570.538716,0.579551,0.145903,193.539557,0.630801,0.175993,multi_delta_vlm_exposure_censoring_summary.csv + area_weighted_chao_phraya_summary
