key,size,size_mb,url
Iran_subsidence_rate_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.jpg,1808016,1.724,https://zenodo.org/api/records/10815578/files/Iran_subsidence_rate_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.jpg/content
Iran_subsidence_rate_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif,38571343,36.784,https://zenodo.org/api/records/10815578/files/Iran_subsidence_rate_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif/content
Iran_subsidence_seasonal_amplitude_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif,34749648,33.140,https://zenodo.org/api/records/10815578/files/Iran_subsidence_seasonal_amplitude_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif/content
Iran_subsidence_mask_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif,1559304,1.487,https://zenodo.org/api/records/10815578/files/Iran_subsidence_mask_2014-2020_Sentinel-1_InSAR_desc_v1.0.0.tif/content
